episode,episode_reward,game_score,max_tile,episode_length,epsilon,loss
1,1689.76,1464,128,182,0.999117,
2,1207.6,1036,128,125,0.998511,
3,1598.24,1376,128,166,0.997706,
4,1575.4,1384,128,169,0.996886,
5,847.2,704,64,107,0.996367,
6,529.2,456,32,83,0.995965,
7,1617.28,1424,128,174,0.995121,
8,723.12,612,64,92,0.994675,
9,737.08,656,64,109,0.994146,
10,880.12,760,64,119,0.993569,
11,734.76,648,64,110,0.993035,
12,805.2,712,64,112,0.992492,
13,1730.32,1484,128,180,0.991619,
14,895.0,828,64,137,0.990955,
15,724.16,604,64,95,0.990494,
16,1319.92,1160,128,150,0.989766,
17,724.8,612,64,95,0.989306,
18,1498.32,1260,128,150,0.988578,
19,1938.68,1636,128,183,0.987691,
20,932.92,804,64,114,0.987138,
21,3000.0,2476,256,255,0.985901,
22,1563.84,1336,128,165,0.985101,
23,1282.28,1056,128,129,0.984475,
24,840.48,724,64,116,0.983913,
25,1498.56,1304,128,162,0.983127,
26,796.16,724,64,115,0.982569,
27,1618.92,1404,128,172,0.981735,
28,1669.28,1396,128,175,0.980886,
29,676.36,584,64,98,0.980411,
30,2203.6,1832,128,185,0.979514,
31,1609.76,1460,128,192,0.978582,
32,1902.6,1632,128,197,0.977627,
33,984.76,848,64,124,0.977026,
34,1267.48,1008,128,113,0.976477,
35,1557.92,1356,128,173,0.975638,7.47907
36,1174.44,1048,64,155,0.974887,7.490771
37,597.96,560,64,94,0.974431,7.201889
38,1287.04,1104,128,145,0.973728,8.023744
39,669.56,552,64,85,0.973315,7.863434
40,990.6,876,64,125,0.972709,9.179322
41,1491.28,1316,128,166,0.971904,7.460748
42,1754.68,1520,128,187,0.970997,5.266995
43,1937.08,1720,128,223,0.969915,7.391411
44,1443.52,1416,128,218,0.968858,8.311997
45,1625.16,1404,128,175,0.968009,8.839468
46,849.12,764,64,133,0.967364,10.301596
47,657.2,536,64,81,0.966971,6.465699
48,2210.36,1940,256,194,0.966031,7.434889
49,1211.92,988,128,110,0.965497,5.546285
50,621.48,532,64,84,0.96509,11.199923
51,1237.56,1060,128,136,0.96443,7.792063
52,1604.52,1388,128,166,0.963625,7.462667
53,740.24,616,64,99,0.963145,13.320061
54,1483.56,1352,128,177,0.962286,9.128769
55,376.2,312,32,63,0.961981,9.52516
56,971.0,848,64,118,0.961409,7.672992
57,721.88,624,64,99,0.960928,8.113845
58,455.84,376,32,69,0.960594,7.470224
59,2455.92,2204,256,229,0.959483,8.934805
60,2036.36,1784,128,208,0.958474,10.296132
61,1322.72,1088,128,136,0.957815,7.248745
62,501.96,456,32,87,0.957393,9.087109
63,1587.16,1328,128,163,0.956602,7.820822
64,683.76,568,64,89,0.956171,7.75069
65,1518.36,1320,128,158,0.955404,6.371278
66,662.2,548,64,84,0.954997,8.28768
67,1252.48,1052,128,125,0.954391,8.01075
68,720.36,632,64,107,0.953872,7.937745
69,1706.92,1404,128,151,0.953139,7.331204
70,1643.88,1452,128,180,0.952266,6.601202
71,1690.12,1448,128,185,0.951369,9.60108
72,701.8,592,64,94,0.950913,9.278796
73,1567.32,1324,128,159,0.950142,8.134078
74,1361.16,1196,128,145,0.949439,6.811224
75,1466.08,1336,128,180,0.948566,9.345553
76,1542.96,1304,128,152,0.947829,8.333245
77,1662.36,1460,128,191,0.946902,8.979305
78,632.96,532,64,80,0.946514,8.019176
79,1575.44,1356,128,173,0.945675,7.86089
80,2614.92,2112,256,193,0.944739,9.476839
81,598.32,576,64,99,0.944259,7.896422
82,653.4,572,64,94,0.943803,7.517591
83,1433.76,1160,128,146,0.943095,8.997379
84,436.4,384,32,77,0.942721,10.674967
85,847.04,764,64,128,0.942101,7.518672
86,949.88,816,64,108,0.941577,8.137652
87,1084.16,948,64,130,0.940946,6.944399
88,2382.96,1996,256,177,0.940088,9.503804
89,1199.44,1096,128,158,0.939322,6.400612
90,2526.32,2124,256,197,0.938366,8.63379
91,663.08,580,64,96,0.937901,9.565275
92,2036.6,1740,128,182,0.937018,9.392067
93,440.88,372,32,71,0.936674,8.269798
94,1615.96,1400,128,179,0.935805,9.486383
95,933.0,800,64,118,0.935233,7.819938
96,456.64,400,32,79,0.93485,5.478504
97,1688.84,1440,128,172,0.934016,7.04948
98,783.8,728,64,121,0.933429,7.302119
99,1257.36,1096,128,139,0.932755,8.271985
100,1601.92,1360,128,174,0.931911,8.248182
101,1012.92,896,64,133,0.931266,6.915462
102,1304.84,1136,128,144,0.930567,6.731814
103,655.24,568,64,90,0.930131,7.382676
104,757.48,636,64,95,0.92967,9.184115
105,464.2,404,32,79,0.929287,11.213897
106,438.92,384,32,75,0.928923,8.566012
107,1416.92,1264,128,165,0.928123,8.205548
108,888.8,768,64,118,0.927551,7.083939
109,1938.24,1684,128,201,0.926576,8.262335
110,1383.6,1220,128,152,0.925839,8.947886
111,1174.24,1128,128,171,0.925009,7.489305
112,1493.68,1320,128,163,0.924219,6.779606
113,1514.4,1328,128,163,0.923428,9.141384
114,1545.56,1300,128,146,0.92272,10.034694
115,672.12,588,64,92,0.922274,8.069006
116,620.72,596,64,114,0.921721,7.5109
117,2663.0,2244,256,216,0.920673,7.918252
118,760.72,660,64,101,0.920184,7.792548
119,767.48,644,64,100,0.919699,8.773771
120,2380.32,2096,256,216,0.918651,6.324937
121,1506.16,1288,128,160,0.917875,10.092255
122,505.6,472,32,85,0.917463,7.792059
123,2352.96,2048,128,229,0.916352,7.991616
124,850.0,768,64,136,0.915692,7.464408
